ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-017,Swadesh 100,Body Sensations & Activities,die,Addu,Sinhala,Maravun,Marènavā,4,0.5,50.0,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Addu,Malayalam,Maravun,Marikkuka,5,0.5556,44.44,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Addu,Arabic,Maravun,Māta,5,0.7143,28.57,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Huvadhu,Sinhala,Maravege,Marènavā,5,0.625,37.5,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Huvadhu,Malayalam,Maravege,Marikkuka,6,0.6667,33.33,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Huvadhu,Arabic,Maravege,Māta,6,0.75,25.0,No
SW100-018,Swadesh 100,Animals,dog,Male',Addu,Balhu,Balha,1,0.2,80.0,Yes
SW100-018,Swadesh 100,Animals,dog,Male',Sinhala,Balhu,Ballā,2,0.4,60.0,No
SW100-018,Swadesh 100,Animals,dog,Male',Malayalam,Balhu,Paṭṭi,4,0.8,20.0,No
SW100-018,Swadesh 100,Animals,dog,Male',Arabic,Balhu,Kalba,3,0.6,40.0,No
SW100-018,Swadesh 100,Animals,dog,Addu,Sinhala,Balha,Ballā,2,0.4,60.0,No
SW100-018,Swadesh 100,Animals,dog,Addu,Malayalam,Balha,Paṭṭi,4,0.8,20.0,No
SW100-018,Swadesh 100,Animals,dog,Addu,Arabic,Balha,Kalba,2,0.4,60.0,No
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Male',Addu,Buin,Boa ey,5,0.8333,16.67,Yes
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Male',Sinhala,Buin,Bònavā,5,0.8333,16.67,No
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Male',Malayalam,Buin,Kuṭikkuka,7,0.7778,22.22,No
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Male',Arabic,Buin,Śariba,5,0.8333,16.67,No
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Addu,Sinhala,Boa ey,Bònavā,5,0.8333,16.67,No
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Addu,Malayalam,Boa ey,Kuṭikkuka,9,1.0,0.0,No
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Addu,Arabic,Boa ey,Śariba,6,1.0,0.0,No
